Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,0.113,0,-1,0,0,91,0
0.042,0.339,0,-1,0,0,91,0
0.063,0.339,0,-1,0,0,90,0
0.084,0.226,0,-1,0,0,91,0
0.105,0.113,0,-1,0,0,93,0
0.126,0.113,0,-1,0,0,94,0
0.147,0.113,0,-1,0,0,98,0
0.168,0.113,0,-1,0,0,99,0
0.189,0.113,6.023,-1,0.002,0,101,0
0.21,0.113,0,-1,0.002,0,101,0
0.231,0.113,0,-1,0.002,0,105,0
0.252,0.113,0,-1,0.002,0,106,0
0.273,0.113,0,-1,0.002,0,107,0
0.294,2.825,6.023,-1,0.004,0,107,0
0.315,15.253,3.685,47,0.006,45,107,0
0.336,10.96,6.501,59,0.008,59,107,0
0.357,5.084,6.458,27,0.011,58,107,0
0.378,6.666,6.532,36,0.013,146,108,0
0.399,14.801,8.796,108,0.017,106,108,0
0.42,0.339,8.612,2,0.019,0,108,0
0.441,0.226,8.828,2,0.021,0,108,0
0.462,0.113,7.255,1,0.023,0,108,0
0.483,15.14,6.436,81,0.025,42,108,0
0.504,4.971,6.436,26,0.027,35,109,0
0.525,14.914,4.985,62,0.03,111,110,0
0.546,28.359,5.962,140,0.032,76,111,0
0.567,19.885,7.199,119,0.034,85,111,0
0.588,0,5.79,0,0.036,0,111,0
0.609,0.113,0,-1,0.036,0,111,0
0.63,0,6.023,-1,0.038,0,111,0
0.651,0,0,-1,0.038,0,111,0
0.672,0,6.023,-1,0.04,0,112,0
0.693,0,0,-1,0.04,0,112,0
0.714,0,0,-1,0.04,0,112,0
0.735,0,0,-1,0.04,0,112,0
0.756,0,0,-1,0.04,0,113,0
0.777,0,0,-1,0.04,0,113,0
0.798,0,0,-1,0.04,0,113,0
0.819,0,0,-1,0.04,0,113,0
0.84,0,0,-1,0.04,0,112,0
0.861,0,0,-1,0.04,0,112,0
0.882,0,0,-1,0.04,0,112,0
0.903,0,0,-1,0.04,0,-1,0
0.924,0,0,-1,0.04,0,-1,0
0.945,0,0,-1,0.04,0,113,0
0.966,0,0,-1,0.04,0,113,0
0.987,0,0,-1,0.04,0,113,0
1.008,0,0,-1,0.04,0,-1,0
1.029,0,0,-1,0.04,0,111,0
1.05,0,0,-1,0.04,0,109,0
1.071,0,0,-1,0.04,0,108,0
1.092,0,0,-1,0.04,0,108,0
1.113,0,0,-1,0.04,0,108,0
1.134,0,0,-1,0.04,0,109,0
1.155,0,0,-1,0.04,0,110,0
1.176,0,0,-1,0.04,0,111,0
1.197,0,0,-1,0.04,0,113,0
1.218,0,0,-1,0.04,0,113,0
1.239,0,0,-1,0.04,0,114,0
1.26,0,0,-1,0.04,0,114,0
1.281,0,0,-1,0.04,0,112,0
1.302,0,0,-1,0.04,0,112,0
1.323,0,0,-1,0.04,0,112,0
1.344,0,0,-1,0.04,0,113,0
1.365,0,0,-1,0.04,0,113,0
1.386,0,0,-1,0.04,0,113,0
1.407,0.791,0,-1,0.04,0,114,0
1.428,18.417,6.023,-1,0.042,0,115,0
1.449,7.909,4.029,26,0.044,76,116,0
1.47,25.422,5.629,118,0.046,44,117,0
1.491,7.796,7.008,45,0.048,44,119,0
1.512,0.226,9.223,2,0.053,0,119,0
1.533,0.113,9.223,1,0.057,0,120,0
1.554,33.331,15.124,417,0.061,32,121,0
1.575,33.331,15.124,417,0.065,32,121,0
1.596,33.331,15.124,417,0.07,32,122,0
1.617,11.976,18.299,181,0.076,82,122,0
1.638,11.411,19.949,188,0.084,67,123,0
1.659,8.248,20.788,142,0.091,70,124,0
1.68,5.31,20.994,92,0.099,52,124,0
1.701,5.875,21.638,105,0.105,53,125,0
1.722,0.226,22.024,4,0.114,0,126,0
1.743,14.123,21.701,254,0.122,86,126,0
1.764,17.852,21.893,324,0.129,59,127,0
1.785,4.632,22.356,86,0.137,83,127,0
1.806,7.344,21.958,134,0.145,70,128,0
1.827,14.01,22.188,257,0.152,69,128,0
1.848,13.784,23.195,265,0.16,75,128,0
1.869,14.688,23.945,291,0.169,80,129,0
1.89,13.332,24.869,275,0.177,67,129,0
1.911,11.298,26.049,244,0.188,86,130,0
1.932,9.943,26.42,217,0.196,59,130,0
