Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,0.339,0,-1,0,0,91,0
0.042,3.503,0,-1,0,0,89,0
0.063,5.084,0,-1,0,0,87,0
0.084,24.857,0,-1,0,0,87,0
0.105,15.818,6.023,-1,0.002,0,86,0
0.126,22.484,3.727,69,0.004,57,88,0
0.147,4.971,8.426,35,0.008,33,89,0
0.168,5.536,9.189,42,0.013,41,91,0
0.189,21.241,9.995,176,0.015,40,94,0
0.21,19.433,12.593,203,0.021,43,96,0
0.231,27.116,15.685,352,0.025,37,97,0
0.252,22.371,17.988,333,0.032,52,98,0
0.273,7.231,20.788,124,0.04,58,102,0
0.294,0.565,20.615,10,0.046,0,104,0
0.315,3.728,20.221,62,0.055,143,106,0
0.336,6.553,20.193,110,0.061,81,107,0
0.357,3.164,20.759,54,0.067,75,109,0
0.378,0.678,20.672,12,0.076,0,111,0
0.399,0.226,20.788,4,0.082,0,112,0
0.42,21.467,18.93,336,0.089,118,114,0
0.441,29.489,21.701,530,0.097,78,115,0
0.462,14.688,24.418,297,0.105,72,116,0
0.483,0.452,24.338,9,0.114,0,117,0
0.504,3.616,22.698,68,0.122,143,118,0
0.525,10.169,22.491,189,0.131,108,118,0
0.546,5.536,22.491,103,0.137,70,118,0
0.567,1.356,22.056,25,0.145,88,119,0
0.588,8.587,21.575,153,0.154,89,119,0
0.609,7.57,21.512,135,0.16,54,119,0
0.63,7.344,21.265,129,0.169,70,120,0
0.651,5.423,20.964,94,0.175,68,121,0
0.672,2.712,21.265,48,0.183,75,122,0
0.693,0.226,21.054,4,0.19,0,123,0
0.714,0.339,20.759,6,0.198,0,123,0
0.735,4.406,20.36,74,0.204,133,124,0
0.756,6.553,20.788,113,0.213,74,124,0
0.777,9.265,21.114,162,0.219,65,125,0
0.798,11.411,22.188,210,0.228,70,125,0
0.819,6.779,23.268,131,0.236,76,126,0
0.84,6.327,24.298,127,0.245,78,126,0
0.861,4.293,24.662,88,0.253,80,126,0
0.882,3.616,25.25,76,0.261,64,127,0
0.903,4.293,25.732,91,0.27,79,128,0
0.924,3.39,26.049,73,0.28,80,128,0
0.945,3.503,26.706,77,0.289,82,129,0
0.966,0.226,27.146,5,0.299,0,130,0
0.987,0,27.196,0,0.308,0,130,0
1.008,0,27.704,0,0.318,0,130,0
1.029,0,27.653,0,0.327,0,131,0
1.05,0,27.55,0,0.337,0,131,0
1.071,0,24.459,0,0.346,0,130,0
1.092,0,21.45,0,0.352,0,129,0
1.113,10.621,17.666,155,0.358,138,128,0
1.134,32.314,18.597,498,0.365,75,127,0
1.155,27.681,21.144,485,0.373,63,126,0
1.176,25.648,23.415,497,0.382,71,126,0
1.197,5.197,26.28,113,0.39,89,127,0
1.218,5.197,26.141,112,0.401,111,127,0
1.239,7.118,26.515,156,0.409,80,128,0
1.26,5.875,27.097,132,0.419,80,129,0
1.281,7.005,27.861,162,0.428,94,129,0
1.302,6.892,28.78,164,0.438,91,130,0
1.323,0.113,29.177,3,0.449,0,131,0
1.344,4.632,29.234,112,0.46,103,132,0
1.365,8.926,30.498,225,0.47,58,132,0
1.386,2.034,31.008,52,0.481,100,133,0
1.407,6.101,31.402,159,0.491,124,133,0
1.428,7.005,32.152,186,0.504,61,133,0
1.449,4.745,32.719,129,0.514,79,134,0
1.47,4.858,32.792,132,0.525,72,134,0
1.491,4.858,33.534,135,0.538,77,134,0
1.512,4.745,34.31,135,0.55,84,135,0
1.533,4.18,34.875,121,0.561,83,135,0
1.554,3.616,35.544,106,0.573,85,135,0
1.575,3.051,36.063,91,0.586,100,135,0
1.596,2.825,36.779,86,0.601,89,136,0
1.617,2.712,37.524,84,0.613,120,136,0
1.638,2.599,38.201,82,0.626,109,136,0
1.659,3.39,39.211,110,0.641,86,136,0
1.68,1.921,39.951,64,0.653,73,136,0
1.701,0.113,39.525,4,0.668,0,135,0
1.722,0,39.211,0,0.681,0,135,0
1.743,0,38.699,0,0.696,0,135,0
1.764,0,37.811,0,0.708,0,134,0
1.785,0.904,37.619,28,0.721,0,134,0
1.806,6.44,38.005,203,0.736,98,133,0
1.827,3.164,37.715,99,0.748,108,133,0
1.848,3.164,37.908,99,0.761,65,133,0
1.869,4.971,37.908,156,0.774,38,132,0
1.89,5.084,38.005,160,0.788,60,132,0
1.911,4.858,38.103,153,0.801,93,133,0
1.932,4.067,38.103,128,0.814,89,133,0
1.953,3.841,38.299,122,0.828,60,133,0
1.974,3.954,38.103,125,0.841,98,133,0
1.995,5.875,38.103,185,0.854,99,133,0
2.016,5.649,37.908,177,0.868,53,133,0
2.037,3.841,37.811,120,0.881,74,133,0
2.058,3.39,37.619,106,0.894,74,134,0
2.079,7.005,37.619,218,0.906,74,134,0
2.1,2.147,37.619,67,0.921,88,134,0
2.121,2.373,37.335,73,0.934,74,135,0
2.142,2.147,36.779,65,0.946,77,134,0
2.163,3.164,36.507,96,0.959,44,134,0
2.184,2.938,36.597,89,0.972,78,134,0
2.205,3.728,37.055,114,0.984,106,133,0
2.226,2.486,37.429,77,0.997,78,133,0
2.247,0,37.524,0,1.012,0,133,0
2.268,0,37.148,0,1.024,0,133,0
2.289,0,36.688,0,1.037,0,132,0
2.31,0,36.328,0,1.05,0,131,0
2.331,0,35.63,0,1.062,0,130,0
2.352,0,35.544,0,1.075,0,130,0
2.373,0,34.631,0,1.088,0,128,0
2.394,0,32.576,0,1.098,0,127,0
2.415,0,30.373,0,1.109,0,127,0
2.436,0,27.861,0,1.117,0,126,0
2.457,0,25.164,0,1.126,0,125,0
2.478,0,21.204,0,1.134,0,123,0
2.499,0,18.504,0,1.14,0,122,0
2.52,15.253,17.858,226,1.147,114,117,0
2.541,33.895,22.526,632,1.155,69,117,0
2.562,27.229,26.327,594,1.164,75,117,0
2.583,4.519,28.949,108,1.174,111,119,0
2.604,0.678,28.178,16,1.185,0,121,0
2.625,6.666,27.966,154,1.193,143,123,0
2.646,11.185,28.125,260,1.204,87,124,0
2.667,10.282,28.504,243,1.214,88,127,0
2.688,10.395,28.178,243,1.223,88,128,0
2.709,10.96,28.836,262,1.233,88,129,0
2.73,8.474,30.435,214,1.244,122,130,0
2.751,8.474,31.073,218,1.256,84,132,0
2.772,11.185,31.204,289,1.267,98,132,0
2.793,8.022,30.751,204,1.277,98,133,0
2.814,7.57,30.187,189,1.288,99,136,0
2.835,9.265,29.35,225,1.299,72,136,0
2.856,13.445,28.836,321,1.307,89,137,0
2.877,14.349,28.394,337,1.318,91,138,0
2.898,14.123,27.913,326,1.328,88,140,0
2.919,14.123,27.246,319,1.336,85,141,0
2.94,12.993,26.562,286,1.347,85,141,0
2.961,15.931,26.003,343,1.355,84,141,0
2.982,16.383,25.867,351,1.364,81,142,0
3.003,18.53,25.777,395,1.374,81,143,0
3.024,15.366,25.867,329,1.383,80,144,0
3.045,15.366,25.777,328,1.391,80,144,0
3.066,17.513,25.732,373,1.4,80,145,0
3.087,13.332,25.867,286,1.41,81,146,0
3.108,14.688,25.688,312,1.419,80,147,0
3.129,19.094,25.207,399,1.427,78,147,0
3.15,21.693,26.658,479,1.438,69,148,0
3.171,17.626,27.601,403,1.446,77,149,0
3.192,17.626,28.232,412,1.457,70,151,0
3.213,15.027,29.12,362,1.467,76,152,0
3.234,0.678,29.467,17,1.478,0,152,0
3.255,6.666,28.178,156,1.486,96,153,0
3.276,7.231,28.125,168,1.497,87,154,0
3.297,14.01,28.725,333,1.507,80,155,0
3.318,11.863,29.943,294,1.518,82,155,0
3.339,8.7,30.561,220,1.528,88,156,0
3.36,5.762,30.687,146,1.539,89,156,0
3.381,6.553,30.687,166,1.549,88,156,0
3.402,12.089,31.008,310,1.56,90,156,0
3.423,7.118,31.536,186,1.57,87,156,0
3.444,5.988,31.603,157,1.583,86,156,0
3.465,4.519,31.27,117,1.594,70,156,0
3.486,3.954,30.687,100,1.604,67,156,0
3.507,3.277,30.435,83,1.615,70,156,0
3.528,6.553,29.644,161,1.625,86,156,0
3.549,9.491,29.703,233,1.636,84,156,0
3.57,8.135,30.311,204,1.646,81,156,0
