Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,-1,0,-1,0,-1,80,0
0.042,-1,0,-1,0,-1,80,0
0.063,-1,0,-1,0,-1,79,0
0.084,-1,0,-1,0,-1,79,0
0.105,0,0,-1,0,0,82,0
0.126,0,0,-1,0,0,83,0
0.147,0,0,-1,0,0,85,0
0.168,0,0,-1,0,0,86,0
0.189,0,0,-1,0,0,87,0
0.21,0.452,0,-1,0,0,89,0
0.231,1.13,0,-1,0,0,89,0
0.252,0.452,0,-1,0,0,91,0
0.273,9.83,0,-1,0,0,91,0
0.294,6.214,0,-1,0,0,91,0
0.315,8.135,0,-1,0,0,91,0
0.336,8.926,0,-1,0,0,92,0
0.357,24.631,6.023,-1,0.002,0,92,0
0.378,19.998,0,-1,0.002,0,92,0
0.399,0.226,3.786,1,0.004,0,93,0
0.42,0.791,0,-1,0.004,0,94,0
0.441,1.921,0,-1,0.004,0,94,0
0.462,0.452,7.4,3,0.011,0,96,0
0.483,27.568,7.4,169,0.011,34,97,0
0.504,8.474,7.4,52,0.013,42,98,0
0.525,10.282,7.4,63,0.013,98,98,0
0.546,18.078,3.646,55,0.015,98,100,0
0.567,0.226,7.999,1,0.019,0,100,0
0.588,0.113,9.538,1,0.023,0,100,0
0.609,0,9.914,0,0.025,0,100,0
0.63,0,9.777,0,0.03,0,100,0
0.651,0,10.835,0,0.034,0,100,0
0.672,8.022,11.562,77,0.038,73,100,0
0.693,11.185,12.05,112,0.042,59,99,0
0.714,13.558,13.082,147,0.046,42,96,0
0.735,6.214,14.143,73,0.051,39,95,0
0.756,2.712,14.376,32,0.057,42,96,0
0.777,1.695,14.489,20,0.061,44,97,0
0.798,2.034,14.418,24,0.065,43,97,0
0.819,0.113,14.362,1,0.072,0,98,0
0.84,0,14.157,0,0.076,0,99,0
0.861,0,14.157,0,0.08,0,99,0
0.882,0,14.023,0,0.086,0,98,0
0.903,0,14.103,0,0.091,0,97,0
0.924,0,14.103,0,0.095,0,95,0
0.945,19.207,15.078,240,0.099,69,94,0
0.966,19.207,15.078,240,0.103,69,94,0
0.987,6.327,20.03,105,0.112,85,95,0
1.008,0,20.472,0,0.118,0,97,0
1.029,0,20.472,0,0.124,0,97,0
1.05,0,20.472,0,0.131,0,97,0
1.071,0,20.472,0,0.137,0,102,0
1.092,-1,0,-1,0.137,-1,103,0
1.113,0,19.895,0,0.145,0,104,0
1.134,0,19.528,0,0.152,0,104,0
1.155,0,20.03,0,0.158,0,106,0
1.176,0,20.304,0,0.167,0,107,0
1.197,0,20.166,0,0.173,0,107,0
1.218,0,20.193,0,0.179,0,108,0
1.239,0,20.193,0,0.186,0,108,0
1.26,0,19.606,0,0.192,0,108,0
1.281,0,19.606,0,0.198,0,108,0
1.302,0,19.606,0,0.204,0,108,0
1.323,3.051,20.193,51,0.211,61,108,0
1.344,6.553,19.895,108,0.217,80,108,0
1.365,19.998,21.235,352,0.226,71,107,0
1.386,21.241,23.906,420,0.234,68,107,0
1.407,2.486,25.207,52,0.242,118,108,0
1.428,0.113,24.621,2,0.251,0,108,0
1.449,4.18,23.677,82,0.259,149,110,0
1.47,6.44,23.639,126,0.268,72,111,0
1.491,4.745,23.829,94,0.276,70,111,0
1.512,2.938,23.753,58,0.285,55,112,0
1.533,1.582,23.415,31,0.293,108,113,0
1.554,1.582,23.415,31,0.301,108,113,0
1.575,10.395,22.526,194,0.31,67,114,0
1.596,10.395,22.526,194,0.318,67,114,0
1.617,0,22.56,0,0.327,0,114,0
1.638,0,22.56,0,0.335,0,115,0
1.659,0,22.56,0,0.344,0,115,0
1.68,15.931,23.015,304,0.352,63,116,0
1.701,15.931,23.015,304,0.36,63,117,0
1.722,15.931,23.015,304,0.369,63,118,0
1.743,15.931,23.015,304,0.377,63,120,0
1.764,13.445,26.562,296,0.388,79,121,0
1.785,13.445,26.562,296,0.398,79,122,0
1.806,13.445,26.562,296,0.409,79,123,0
1.827,13.897,27.397,315,0.419,83,125,0
1.848,13.897,27.397,315,0.43,83,126,0
1.869,13.897,27.397,315,0.441,83,127,0
1.89,13.897,27.397,315,0.451,83,128,0
1.911,8.587,28.836,205,0.46,100,129,0
1.932,8.587,28.836,205,0.468,100,130,0
1.953,8.587,28.836,205,0.476,100,130,0
1.974,9.265,31.944,245,0.487,98,132,0
1.995,9.152,32.292,245,0.497,96,132,0
2.016,7.344,32.362,197,0.51,99,132,0
2.037,7.344,32.362,197,0.523,99,133,0
2.058,4.632,30.879,118,0.533,95,133,0
2.079,4.858,29.703,119,0.544,90,134,0
2.1,5.762,28.669,137,0.554,93,134,0
2.121,5.762,28.669,137,0.565,93,134,0
2.142,2.147,26.61,47,0.575,122,135,0
2.163,0,24.662,0,0.584,0,135,0
2.184,0,24.662,0,0.592,0,135,0
2.205,6.101,21.054,106,0.599,124,134,0
2.226,6.101,21.054,106,0.605,124,134,0
2.247,0.678,19.174,11,0.611,0,134,0
2.268,0.565,19.174,9,0.618,0,133,0
2.289,0,14.807,0,0.624,0,133,0
2.31,0,14.807,0,0.63,0,132,0
2.331,0,9.988,0,0.632,0,132,0
2.352,6.779,10.097,57,0.637,75,130,0
2.373,6.779,10.097,57,0.641,75,129,0
2.394,44.516,21.733,801,0.649,58,129,0
2.415,7.683,26.468,168,0.66,131,129,0
2.436,7.683,26.468,168,0.67,131,130,0
2.457,0,28.019,0,0.681,0,130,0
2.478,0,28.019,0,0.691,0,130,0
2.499,0,29.35,0,0.702,0,131,0
2.52,0,29.823,0,0.713,0,131,0
2.541,0,30.126,0,0.723,0,131,0
2.562,0,30.187,0,0.734,0,131,0
2.583,0,30.624,0,0.744,0,131,0
2.604,0,30.561,0,0.755,0,131,0
2.625,0,30.126,0,0.765,0,131,0
2.646,0,29.467,0,0.776,0,131,0
2.667,0,29.467,0,0.786,0,131,0
2.688,0,29.467,0,0.797,0,130,0
2.709,0,26.327,0,0.805,0,129,0
2.73,0,26.327,0,0.814,0,127,0
2.751,0,26.327,0,0.822,0,126,0
2.772,0,22.122,0,0.831,0,125,0
2.793,1.921,21.512,34,0.837,133,122,0
2.814,0.339,21.084,6,0.845,0,121,0
2.835,0.226,21.084,4,0.854,0,120,0
2.856,0.113,21.084,2,0.862,0,120,0
2.877,0,19.922,0,0.871,0,119,0
2.898,0,20.057,0,0.877,0,118,0
2.919,0,20.057,0,0.883,0,118,0
2.94,0,19.426,0,0.892,0,116,0
2.961,0,19.324,0,0.898,0,115,0
2.982,0,19.35,0,0.904,0,113,0
3.003,0,19.299,0,0.911,0,112,0
3.024,0,19.299,0,0.917,0,108,0
3.045,0,18.978,0,0.925,0,107,0
3.066,4.293,19.224,68,0.932,72,106,0
3.087,2.034,19.125,32,0.938,63,105,0
3.108,3.277,19.632,53,0.944,69,105,0
3.129,2.373,19.762,39,0.953,55,106,0
3.15,2.147,19.606,35,0.959,46,106,0
3.171,2.26,19.658,37,0.965,59,106,0
3.192,2.26,19.658,37,0.972,59,105,0
3.213,2.26,19.658,37,0.978,59,104,0
3.234,3.39,20.003,56,0.984,65,101,0
3.255,3.39,20.003,56,0.991,65,101,0
3.276,3.39,20.003,56,0.997,65,101,0
3.297,0.339,19.224,5,1.003,0,102,0
3.318,5.084,19.174,81,1.01,83,103,0
3.339,3.616,19.451,58,1.016,68,105,0
3.36,3.616,19.451,58,1.022,68,107,0
3.381,4.293,19.199,68,1.031,44,107,0
3.402,3.051,19.58,49,1.037,54,107,0
3.423,2.486,19.4,40,1.043,72,106,0
3.444,3.051,19.249,49,1.05,67,105,0
3.465,3.051,19.249,49,1.056,67,105,0
3.486,5.084,19.076,80,1.065,68,105,0
3.507,6.214,18.905,97,1.071,65,105,0
3.528,5.197,18.93,81,1.077,67,106,0
3.549,4.632,18.714,72,1.084,64,107,0
3.57,3.39,18.574,52,1.09,64,107,0
3.591,4.067,18.458,62,1.096,88,109,0
3.61199,4.632,18.62,71,1.102,75,110,0
3.63299,5.084,18.299,77,1.109,68,110,0
3.65399,6.327,17.708,93,1.115,62,109,0
3.67499,6.892,17.417,99,1.121,60,108,0
3.69599,6.779,17.336,97,1.128,60,107,0
3.71699,3.841,17.479,56,1.134,62,107,0
3.73799,5.536,17.438,80,1.14,64,108,0
3.75899,5.536,17.438,80,1.147,64,108,0
3.77999,5.536,17.438,80,1.153,64,110,0
3.80099,3.503,15.972,46,1.159,57,111,0
3.82199,3.503,15.972,46,1.166,57,112,0
3.84299,5.084,15.52,65,1.17,57,112,0
3.86399,4.293,15.618,56,1.176,56,112,0
3.88499,4.293,15.618,56,1.183,56,112,0
3.90599,5.084,15.768,66,1.189,57,112,0
3.92699,5.084,15.768,66,1.195,57,112,0
3.94799,3.277,15.701,43,1.199,58,112,0
3.96899,2.825,15.768,37,1.206,59,112,0
3.98999,2.825,15.768,37,1.212,59,111,0
4.01099,3.39,16.146,45,1.218,57,111,0
4.03199,1.469,15.586,19,1.225,58,111,0
4.05299,0,15.032,0,1.229,0,111,0
4.07399,0,15.032,0,1.233,0,112,0
4.09499,0,14.588,0,1.237,0,111,0
4.11599,0,14.588,0,1.242,0,111,0
4.13699,0,13.462,0,1.248,0,111,0
4.15799,0,13.059,0,1.252,0,111,0
4.17899,0,12.362,0,1.256,0,110,0
4.19999,1.356,11.963,13,1.261,98,108,0
4.22099,2.034,12.777,22,1.265,65,105,0
4.24199,2.034,13.737,23,1.269,62,103,0
4.26299,1.695,14.56,20,1.275,95,102,0
4.28399,5.649,15.078,71,1.28,75,101,0
4.30499,1.13,15.92,15,1.286,70,102,0
4.32599,2.825,16.998,40,1.292,74,102,0
4.34699,2.486,19.949,41,1.299,64,103,0
4.36799,2.825,22.222,52,1.307,83,103,0
4.38899,2.825,22.222,52,1.315,83,102,0
4.40999,0,28.178,0,1.326,0,102,0
4.43099,0,30.624,0,1.336,0,102,0
4.45199,0,32.576,0,1.347,0,103,0
4.47299,0,33.995,0,1.36,0,102,0
4.49399,0,35.123,0,1.372,0,102,0
4.51499,0,35.123,0,1.385,0,101,0
4.53599,0,35.123,0,1.395,0,102,0
4.55699,0,35.123,0,1.406,0,102,0
4.57799,0,34.875,0,1.419,0,103,0
4.59899,0,34.875,0,1.431,0,104,0
4.61999,0,33.159,0,1.442,0,104,0
4.64099,1.582,31.807,42,1.452,188,105,0
4.66199,1.582,31.807,42,1.463,188,106,0
4.68299,10.621,29.062,256,1.473,99,106,0
4.70399,15.253,29.062,367,1.484,87,107,0
4.72499,13.897,29.467,339,1.495,90,108,0
4.74599,16.044,29.006,385,1.505,89,111,0
4.76699,15.705,28.669,373,1.516,88,113,0
4.78799,13.897,28.614,329,1.524,86,114,0
4.80899,13.897,28.614,329,1.533,86,118,0
4.82999,15.479,28.019,359,1.543,84,119,0
4.85099,15.479,28.019,359,1.554,84,121,0
4.87199,15.027,27.146,338,1.564,81,123,0
4.89299,15.027,27.146,338,1.575,81,126,0
4.91399,12.202,27.146,274,1.585,81,128,0
4.93499,10.282,26.562,226,1.594,80,130,0
4.95599,16.044,25.912,344,1.602,80,131,0
4.97699,18.981,26.754,420,1.613,80,134,0
4.99799,16.27,27.146,366,1.621,83,136,0
5.01899,15.479,27.55,353,1.632,83,137,0
5.03999,15.366,27.966,356,1.642,84,139,0
5.06099,15.366,27.966,356,1.653,84,140,0
5.08199,13.897,28.78,331,1.663,87,141,0
5.10299,13.897,28.78,331,1.674,87,142,0
5.12399,13.897,28.78,331,1.684,87,144,0
5.14499,14.01,29.408,341,1.695,88,145,0
5.16599,14.01,29.703,345,1.705,89,146,0
5.18699,14.123,30.004,351,1.716,91,146,0
5.20799,14.01,30.065,349,1.726,91,147,0
5.22899,14.01,30.065,349,1.737,91,148,0
5.24999,14.01,30.065,349,1.748,91,149,0
5.27099,8.248,29.292,200,1.756,89,150,0
5.29199,8.248,29.292,200,1.764,89,151,0
