Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,0.565,0,-1,0,0,98,0
0.042,13.558,6.023,-1,0.002,0,98,0
0.063,2.486,0,-1,0.002,0,99,0
0.084,40.675,3.779,127,0.004,36,98,0
0.105,10.734,6.805,60,0.008,35,99,0
0.126,18.417,10.835,165,0.013,39,99,0
0.147,16.722,13.788,191,0.017,45,99,0
0.168,17.626,15.124,221,0.023,60,100,0
0.189,18.755,16.767,260,0.027,48,101,0
0.21,5.762,18.504,88,0.034,113,102,0
0.231,0.226,17.687,3,0.04,0,104,0
0.252,6.666,16.881,93,0.046,74,106,0
0.273,6.892,16.881,96,0.053,65,107,0
0.294,7.005,16.862,98,0.059,40,108,0
0.315,0.339,16.673,5,0.065,0,109,0
0.336,0,15.456,0,0.07,0,111,0
0.357,0,15.296,0,0.076,0,111,0
0.378,2.599,15.171,33,0.08,67,111,0
0.399,28.133,16.45,383,0.086,76,111,0
0.42,23.501,19.606,381,0.093,49,111,0
0.441,10.169,22.838,192,0.101,61,111,0
0.462,0.226,23.305,4,0.11,0,112,0
0.483,2.034,22.733,38,0.118,152,113,0
0.504,2.599,22.909,49,0.126,78,114,0
0.525,2.599,22.909,49,0.133,68,116,0
0.546,2.373,22.98,45,0.141,70,118,0
0.567,2.147,22.873,41,0.15,60,119,0
0.588,2.26,22.803,43,0.158,81,120,0
0.609,2.599,23.378,50,0.167,73,121,0
0.63,2.599,22.873,49,0.173,70,122,0
0.651,3.051,22.873,58,0.181,99,122,0
0.672,2.712,23.305,52,0.19,59,122,0
0.693,2.599,22.98,49,0.198,69,122,0
0.714,1.695,23.087,32,0.207,65,123,0
0.735,0.113,22.838,2,0.215,0,123,0
0.756,0,22.255,0,0.221,0,123,0
0.777,0,21.265,0,0.23,0,123,0
0.798,0,19.324,0,0.236,0,122,0
0.819,0,16.234,0,0.242,0,121,0
0.84,0,15.423,0,0.247,0,119,0
0.861,0,14.661,0,0.253,0,116,0
0.882,0,12.09,0,0.257,0,115,0
0.903,0,10.062,0,0.259,0,114,0
0.924,0,8.592,0,0.261,0,114,0
0.945,0,7.396,0,0.264,0,114,0
0.966,0,6.498,0,0.266,0,114,0
0.987,0,0,-1,0.266,0,114,0
1.008,3.728,0,-1,0.266,0,113,0
1.029,5.197,0,-1,0.266,0,113,0
1.05,5.649,0,-1,0.266,0,112,0
1.071,5.197,0,-1,0.266,0,111,0
1.092,5.197,0,-1,0.266,0,110,0
1.113,5.197,0,-1,0.266,0,108,0
1.134,6.214,0,-1,0.266,0,108,0
1.155,5.762,0,-1,0.266,0,103,0
1.176,5.423,0,-1,0.266,0,101,0
1.197,4.293,6.023,-1,0.268,0,100,0
1.218,3.051,0,-1,0.268,0,99,0
1.239,1.582,0,-1,0.268,0,99,0
1.26,1.356,0,-1,0.268,0,98,0
1.281,2.486,0,-1,0.268,0,98,0
1.302,3.616,0,-1,0.268,0,95,0
1.323,13.671,0,-1,0.268,0,94,0
1.344,28.811,6.023,-1,0.27,0,94,0
1.365,49.487,5.376,220,0.274,35,96,0
1.386,5.762,12.766,61,0.278,0,98,0
1.407,26.777,13.353,296,0.282,0,100,0
1.428,20.676,16.199,277,0.289,0,102,0
1.449,18.642,19.815,306,0.295,42,103,0
1.47,19.659,22.698,369,0.304,64,103,0
1.491,18.868,23.829,372,0.312,75,106,0
1.512,16.722,25.079,347,0.32,75,109,0
1.533,16.722,25.079,347,0.329,75,113,0
1.554,7.457,24.744,153,0.337,83,115,0
1.575,11.073,24.953,229,0.346,75,117,0
1.596,9.152,25.122,190,0.354,75,119,0
1.617,7.909,25.38,166,0.363,78,120,0
1.638,6.666,25.599,141,0.373,80,121,0
1.659,6.44,25.643,137,0.382,82,121,0
1.68,5.536,25.511,117,0.39,79,122,0
1.701,6.214,25.423,131,0.398,76,122,0
1.722,6.779,25.164,141,0.407,78,123,0
1.743,6.553,25.337,137,0.417,77,124,0
1.764,6.779,25.337,142,0.426,68,125,0
1.785,5.875,25.423,124,0.434,89,125,0
1.806,8.474,25.555,179,0.443,105,126,0
1.827,9.265,25.867,198,0.453,89,127,0
1.848,6.553,25.777,140,0.462,79,128,0
1.869,7.909,25.599,168,0.47,77,129,0
1.89,8.587,25.732,183,0.479,78,130,0
1.911,6.892,25.958,148,0.489,78,131,0
1.932,5.762,25.912,124,0.497,80,131,0
1.953,9.265,26.141,201,0.506,89,132,0
1.974,6.214,26.28,135,0.516,84,134,0
1.995,5.536,26.28,120,0.525,80,134,0
2.016,5.762,26.187,125,0.533,79,135,0
2.037,4.293,25.958,92,0.544,78,135,0
2.058,6.101,25.643,130,0.552,75,137,0
2.079,5.649,25.958,121,0.561,76,138,0
2.1,5.649,25.958,121,0.569,76,138,0
2.121,5.875,26.187,127,0.578,78,139,0
2.142,6.101,26.327,133,0.586,79,139,0
2.163,3.503,26.61,77,0.597,80,139,0
2.184,2.486,26.658,55,0.605,103,139,0
2.205,2.486,26.468,54,0.616,84,139,0
2.226,1.808,26.28,39,0.624,91,139,0
2.247,1.921,26.003,41,0.632,108,139,0
2.268,2.486,25.555,53,0.643,109,138,0
2.289,2.034,25.467,43,0.651,100,137,0
2.31,0.791,25.164,16,0.66,0,137,0
2.331,0.565,24.54,11,0.668,0,136,0
2.352,0.452,24.58,9,0.677,0,135,0
2.373,0,24.219,0,0.685,0,135,0
2.394,0,24.061,0,0.694,0,134,0
2.415,0,23.677,0,0.702,0,132,0
2.436,0,23.232,0,0.71,0,131,0
2.457,14.688,22.838,278,0.719,114,129,0
2.478,24.179,25.822,517,0.727,78,127,0
2.499,17.061,28.78,407,0.738,84,126,0
2.52,6.666,29.526,163,0.748,89,126,0
2.541,5.197,29.644,128,0.759,86,127,0
2.562,5.988,29.062,144,0.767,90,127,0
2.583,7.909,28.449,186,0.778,88,129,0
2.604,7.909,27.756,182,0.788,85,130,0
2.625,8.361,26.515,184,0.797,84,130,0
2.646,7.909,25.732,169,0.805,63,131,0
2.667,7.457,25.207,156,0.816,78,132,0
2.688,7.683,24.418,155,0.824,74,133,0
2.709,5.423,23.945,108,0.833,74,133,0
2.73,0,23.123,0,0.839,0,133,0
2.751,0.113,22.188,2,0.847,0,133,0
2.772,0,21.606,0,0.856,0,132,0
2.793,5.988,21.701,108,0.862,166,131,0
2.814,11.863,23.051,226,0.871,81,130,0
2.835,6.44,24.703,132,0.879,70,130,0
2.856,4.18,26.42,91,0.89,80,130,0
2.877,4.406,27.55,101,0.898,85,129,0
2.898,4.18,29.292,101,0.909,105,130,0
2.919,3.503,30.561,89,0.919,103,130,0
2.94,0,30.879,0,0.93,0,131,0
2.961,1.243,31.875,33,0.942,146,131,0
