Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,8.022,0,-1,0,0,96,0
0.042,4.858,0,-1,0,0,96,0
0.063,6.666,0,-1,0,0,96,0
0.084,6.779,0,-1,0,0,97,0
0.105,6.779,0,-1,0,0,97,0
0.126,6.779,0,-1,0,0,96,0
0.147,6.666,0,-1,0,0,94,0
0.168,6.44,0,-1,0,0,92,0
0.189,6.666,0,-1,0,0,91,0
0.21,7.118,0,-1,0,0,88,0
0.231,30.167,6.023,-1,0.002,0,88,0
0.252,11.411,4.761,45,0.004,58,89,0
0.273,11.411,4.761,45,0.006,58,90,0
0.294,31.975,15.618,413,0.011,38,96,0
0.315,25.761,17.988,384,0.017,54,99,0
0.336,14.349,20.586,245,0.025,72,102,0
0.357,14.349,20.586,245,0.034,72,104,0
0.378,14.349,20.586,245,0.042,72,107,0
0.399,14.349,22.768,270,0.051,80,107,0
0.42,22.936,23.195,440,0.059,78,111,0
0.441,2.825,25.293,59,0.067,106,116,0
0.462,2.825,25.293,59,0.076,106,119,0
0.483,1.469,25.122,31,0.084,141,122,0
0.504,4.632,24.827,95,0.093,78,123,0
0.525,7.57,24.662,155,0.103,113,125,0
0.546,5.875,24.869,121,0.112,108,125,0
0.567,4.745,25.207,99,0.12,98,126,0
0.588,4.745,25.207,99,0.129,98,126,0
0.609,6.327,25.207,132,0.137,99,127,0
0.63,3.841,25.599,81,0.145,67,127,0
0.651,1.808,25.38,38,0.156,152,127,0
0.672,1.808,25.38,38,0.167,152,128,0
0.693,1.808,25.38,38,0.177,152,129,0
0.714,1.808,25.38,38,0.188,152,129,0
0.735,-1,0,-1,0.188,-1,130,0
0.756,-1,0,-1,0.188,-1,131,0
0.777,-1,0,-1,0.188,-1,132,0
0.798,4.406,26.327,96,0.196,86,132,0
0.819,4.406,26.327,96,0.204,86,133,0
0.84,3.164,26.233,69,0.215,96,134,0
0.861,4.406,25.958,95,0.223,82,134,0
0.882,4.406,25.958,95,0.232,82,134,0
0.903,4.745,25.732,101,0.242,106,134,0
0.924,3.051,25.643,65,0.251,108,135,0
0.945,3.051,25.643,65,0.259,108,134,0
0.966,4.293,25.511,91,0.268,83,134,0
0.987,4.293,25.511,91,0.276,83,134,0
1.008,4.293,25.511,91,0.285,83,134,0
1.029,3.728,25.958,80,0.293,80,133,0
