Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,-1,0,-1,0,-1,109,0
0.042,-1,0,-1,0,-1,110,0
0.063,-1,0,-1,0,-1,111,0
0.084,-1,0,-1,0,-1,115,0
0.105,-1,0,-1,0,-1,116,0
0.126,-1,0,-1,0,-1,118,0
0.147,-1,0,-1,0,-1,121,0
0.168,-1,0,-1,0,-1,122,0
0.189,-1,0,-1,0,-1,123,0
0.21,-1,0,-1,0,-1,124,0
0.231,0.904,6.023,-1,0.002,0,124,0
0.252,31.184,4.501,116,0.004,45,124,0
0.273,20.563,11.186,190,0.008,60,126,0
0.294,21.241,14.211,250,0.013,80,127,0
0.315,7.909,17.275,113,0.019,43,130,0
0.336,0.904,17.966,13,0.025,0,131,0
0.357,3.164,18.276,48,0.032,91,132,0
0.378,0,18.62,0,0.038,0,135,0
0.399,4.18,19.1,66,0.044,120,137,0
0.42,18.191,21.638,326,0.053,59,139,0
0.441,8.135,22.356,151,0.061,54,140,0
0.462,5.084,22.98,97,0.067,57,142,0
0.483,2.825,23.452,55,0.076,69,143,0
0.504,2.712,23.791,53,0.084,57,144,0
0.525,0,23.945,0,0.093,0,145,0
0.546,0,23.984,0,0.101,0,145,0
0.567,2.486,24.298,50,0.11,75,145,0
0.588,1.808,25.037,37,0.12,70,145,0
0.609,0,25.867,0,0.129,0,146,0
0.63,1.921,26.562,42,0.137,114,146,0
0.651,8.361,26.187,181,0.148,95,146,0
0.672,4.971,26.095,107,0.156,81,146,0
0.693,4.971,26.141,108,0.164,66,146,0
0.714,4.745,26.28,103,0.175,78,146,0
0.735,3.164,26.42,69,0.183,81,147,0
0.756,2.825,26.515,62,0.192,82,147,0
0.777,1.356,26.42,30,0.202,82,147,0
0.798,0.904,25.777,19,0.211,0,148,0
0.819,7.909,25.555,167,0.219,105,147,0
0.84,8.7,25.555,184,0.23,88,147,0
0.861,9.152,25.423,193,0.238,88,147,0
0.882,6.779,25.25,142,0.247,85,147,0
0.903,7.683,24.827,158,0.255,95,147,0
0.924,8.474,24.378,171,0.264,84,148,0
0.945,12.202,23.945,242,0.272,82,148,0
0.966,12.88,23.677,252,0.28,80,149,0
0.987,15.479,23.159,297,0.289,80,149,0
1.008,19.885,22.803,375,0.297,78,149,0
1.029,20.45,23.342,395,0.306,80,150,0
1.05,20.789,23.527,405,0.312,80,151,0
1.071,20.789,23.527,405,0.32,80,152,0
1.092,18.304,23.906,362,0.329,80,153,0
1.113,15.479,23.639,303,0.337,80,153,0
1.134,13.558,23.195,260,0.346,80,155,0
1.155,16.722,22.838,316,0.354,78,156,0
1.176,17.513,22.768,330,0.363,78,157,0
1.197,13.671,22.733,257,0.369,78,158,0
1.218,13.784,22.733,259,0.377,76,159,0
1.239,16.27,22.663,305,0.386,78,160,0
1.26,16.496,22.768,311,0.394,77,161,0
1.281,13.671,22.873,259,0.403,79,162,0
1.302,17.739,22.803,335,0.409,78,162,0
1.323,16.383,22.98,312,0.417,79,163,0
1.344,15.818,23.268,305,0.426,78,163,0
1.365,17.287,23.829,341,0.434,80,164,0
1.386,13.106,24.219,263,0.443,83,164,0
1.407,16.044,23.945,318,0.451,82,165,0
1.428,13.106,23.715,257,0.46,81,166,0
