Minutes, Torq (N-m),Km/h,Watts,Km,Cadence,Hrate,ID
0.021,0,0,-1,0,0,99,0
0.042,0,0,-1,0,0,100,0
0.063,0,0,-1,0,0,100,0
0.084,0,0,-1,0,0,99,0
0.105,0,0,-1,0,0,95,0
0.126,0,0,-1,0,0,95,0
0.147,0,0,-1,0,0,95,0
0.168,0,0,-1,0,0,93,0
0.189,0,0,-1,0,0,94,0
0.21,0,0,-1,0,0,94,0
0.231,0,0,-1,0,0,95,0
0.252,0,0,-1,0,0,95,0
0.273,0,0,-1,0,0,95,0
0.294,0,0,-1,0,0,95,0
0.315,0,0,-1,0,0,94,0
0.336,0,0,-1,0,0,92,0
0.357,0,0,-1,0,0,93,0
0.378,0,0,-1,0,0,93,0
0.399,0,0,-1,0,0,93,0
0.42,0,0,-1,0,0,93,0
0.441,0,0,-1,0,0,93,1
0.462,0,0,-1,0,0,93,1
0.483,0,0,-1,0,0,92,1
0.504,0,0,-1,0,0,90,1
0.525,0,0,-1,0,0,91,1
0.546,0,0,-1,0,0,91,1
0.567,0,0,-1,0,0,93,1
0.588,0,0,-1,0,0,94,1
0.609,0,0,-1,0,0,94,1
0.63,0,0,-1,0,0,95,1
0.651,0,0,-1,0,0,93,1
0.672,0,0,-1,0,0,92,1
0.693,-1,0,-1,0,-1,91,1
0.714,-1,0,-1,0,-1,90,1
0.735,-1,0,-1,0,-1,90,1
0.756,-1,0,-1,0,-1,91,1
0.777,0,0,-1,0,0,93,1
0.798,0,0,-1,0,0,93,1
0.819,0,0,-1,0,0,93,1
0.84,0,0,-1,0,0,94,1
0.861,0,0,-1,0,0,94,1
0.882,0,0,-1,0,0,94,1
0.903,0,0,-1,0,0,93,1
0.924,0,0,-1,0,0,92,1
0.945,0,0,-1,0,0,93,1
0.966,0,0,-1,0,0,94,1
0.987,0,0,-1,0,0,94,1
1.008,0.113,0,-1,0,0,96,1
1.029,0.113,0,-1,0,0,97,1
1.05,0,0,-1,0,0,97,1
1.071,0,0,-1,0,0,96,1
1.092,0,0,-1,0,0,91,1
1.113,0,0,-1,0,0,91,1
1.134,0,0,-1,0,0,91,1
1.155,0,0,-1,0,0,91,1
1.176,0,0,-1,0,0,91,1
1.197,0,0,-1,0,0,92,1
1.218,0,0,-1,0,0,92,1
1.239,0.113,0,-1,0,0,91,1
1.26,0.226,0,-1,0,0,90,1
1.281,0,0,-1,0,0,88,1
1.302,0,0,-1,0,0,87,1
1.323,0,0,-1,0,0,87,1
1.344,0,0,-1,0,0,88,1
1.365,0.113,0,-1,0,0,89,1
1.386,0,0,-1,0,0,90,1
1.407,0,0,-1,0,0,91,1
1.428,0,0,-1,0,0,91,1
1.449,0,0,-1,0,0,91,1
1.47,0,0,-1,0,0,90,1
1.491,0,0,-1,0,0,89,1
1.512,0,0,-1,0,0,89,1
1.533,0,0,-1,0,0,91,1
1.554,0,0,-1,0,0,91,1
1.575,0,0,-1,0,0,92,1
1.596,0,0,-1,0,0,93,1
1.617,0,0,-1,0,0,95,1
1.638,0,0,-1,0,0,96,1
1.659,0,0,-1,0,0,96,1
1.68,-1,0,-1,0,-1,95,1
1.701,-1,0,-1,0,-1,96,1
1.722,-1,0,-1,0,-1,96,1
1.743,-1,0,-1,0,-1,96,1
1.764,-1,0,-1,0,-1,97,1
1.785,-1,0,-1,0,-1,97,1
1.806,-1,0,-1,0,-1,97,1
1.827,-1,0,-1,0,-1,96,1
1.848,-1,0,-1,0,-1,95,1
1.869,-1,0,-1,0,-1,95,1
1.89,-1,0,-1,0,-1,94,1
1.911,-1,0,-1,0,-1,93,1
1.932,-1,0,-1,0,-1,93,1
1.953,-1,0,-1,0,-1,91,1
1.974,-1,0,-1,0,-1,90,1
1.995,-1,0,-1,0,-1,89,1
2.016,-1,0,-1,0,-1,88,1
2.037,-1,0,-1,0,-1,88,1
2.058,-1,0,-1,0,-1,89,1
2.079,-1,0,-1,0,-1,90,1
2.1,-1,0,-1,0,-1,91,1
2.121,-1,0,-1,0,-1,92,1
2.142,-1,0,-1,0,-1,92,1
2.163,-1,0,-1,0,-1,93,1
2.184,-1,0,-1,0,-1,95,1
2.205,-1,0,-1,0,-1,97,1
2.226,-1,0,-1,0,-1,98,1
2.247,-1,0,-1,0,-1,99,1
2.268,-1,0,-1,0,-1,99,1
2.289,-1,0,-1,0,-1,96,1
2.31,-1,0,-1,0,-1,95,1
2.331,-1,0,-1,0,-1,92,1
2.352,-1,0,-1,0,-1,92,1
2.373,-1,0,-1,0,-1,92,1
2.394,-1,0,-1,0,-1,93,1
2.415,-1,0,-1,0,-1,94,1
2.436,-1,0,-1,0,-1,94,1
2.457,-1,0,-1,0,-1,94,1
2.478,-1,0,-1,0,-1,91,1
2.499,-1,0,-1,0,-1,91,1
2.52,-1,0,-1,0,-1,90,1
2.541,-1,0,-1,0,-1,91,1
2.562,-1,0,-1,0,-1,91,1
2.583,-1,0,-1,0,-1,91,1
2.604,-1,0,-1,0,-1,91,1
2.625,-1,0,-1,0,-1,92,1
2.646,-1,0,-1,0,-1,92,1
2.667,-1,0,-1,0,-1,92,1
2.688,-1,0,-1,0,-1,91,1
2.709,-1,0,-1,0,-1,90,1
2.73,-1,0,-1,0,-1,90,1
2.751,-1,0,-1,0,-1,89,1
2.772,-1,0,-1,0,-1,90,1
2.793,-1,0,-1,0,-1,90,1
2.814,-1,0,-1,0,-1,91,1
2.835,-1,0,-1,0,-1,92,1
2.856,-1,0,-1,0,-1,92,1
2.877,-1,0,-1,0,-1,92,1
2.898,-1,0,-1,0,-1,93,1
2.919,-1,0,-1,0,-1,93,1
2.94,-1,0,-1,0,-1,94,1
2.961,-1,0,-1,0,-1,95,1
2.982,-1,0,-1,0,-1,95,1
3.003,-1,0,-1,0,-1,95,1
3.024,-1,0,-1,0,-1,94,1
3.045,-1,0,-1,0,-1,93,1
3.066,-1,0,-1,0,-1,93,1
3.087,-1,0,-1,0,-1,94,1
3.108,-1,0,-1,0,-1,94,1
3.129,-1,0,-1,0,-1,95,1
3.15,-1,0,-1,0,-1,95,1
3.171,-1,0,-1,0,-1,95,1
3.192,-1,0,-1,0,-1,93,1
3.213,-1,0,-1,0,-1,93,1
3.234,-1,0,-1,0,-1,93,1
3.255,-1,0,-1,0,-1,93,1
